ranking,comment_time,usefule_num
4,2016/12/2,10
3,2016/11/16,19
3,2017/6/13,1
5,2017/1/3,2
5,2016/12/5,8
4,2016/12/2,13
4,2016/12/2,15
4,2016/12/8,2
3,2016/12/8,4
5,2016/12/10,3
3,2016/12/6,14
3,2016/12/3,6
5,2016/12/3,7
5,2016/11/28,8
5,2016/12/4,6
5,2016/12/7,3
3,2016/11/5,10
5,2016/12/3,4
4,2016/12/2,5
3,2016/12/21,3
3,2016/12/8,7
4,2016/12/2,6
5,2016/12/3,5
5,2017/3/12,4
3,2016/10/20,6
3,2016/11/25,20
3,2017/6/17,5
4,2016/10/4,8
4,2016/12/7,3
2,2016/10/9,13
3,2016/12/4,9
3,2016/12/2,10
5,2016/12/2,7
4,2017/1/15,5
4,2016/12/3,2
4,2016/12/4,2
5,2016/12/4,2
4,2016/12/3,6
5,2016/9/13,7
4,2016/10/15,6
4,2017/1/26,4
4,2016/10/3,5
4,2016/12/7,3
4,2016/10/4,8
4,2016/12/2,3
3,2016/12/19,6
4,2016/12/3,9
4,2016/12/7,7
4,2016/12/3,3
5,2016/12/5,12
3,2016/12/2,9
5,2016/9/15,14
5,2017/4/8,3
4,2016/12/13,1
3,2016/9/21,16
5,2016/9/30,6
5,2016/9/9,9
4,2016/12/3,8
3,2016/12/4,5
4,2016/12/3,11
3,2016/9/26,34
5,2016/12/5,1
5,2016/12/4,1
3,2017/1/3,2
4,2016/9/7,4
4,2016/9/11,13
3,2016/9/14,4
4,2016/10/30,8
3,2016/12/5,10
2,2016/12/4,3
5,2016/9/25,10
4,2016/12/5,4
5,2016/11/19,2
4,2016/12/9,4
3,2016/9/28,5
5,2016/8/28,7
3,2016/10/20,4
5,2016/9/19,3
4,2016/12/22,2
3,2016/11/12,10
4,2016/9/15,7
5,2016/12/6,17
4,2016/11/11,3
5,2016/12/11,2
4,2016/11/22,8
4,2016/9/13,2
4,2017/3/12,3
5,2016/12/5,7
,2016/12/4,3
5,2016/12/3,8
2,2016/12/9,16
4,2016/12/2,7
3,2016/11/30,10
